Rank,Guess,NumPatterns,P_solve2
673,24+63=87,1468,0.08283022
674,15+63=78,1467,0.08277380
675,97-14=83,1466,0.08271737
676,75+23=98,1466,0.08271737
677,59+14=73,1466,0.08271737
678,90-38=52,1466,0.08271737
679,72+13=85,1466,0.08271737
680,47+15=62,1466,0.08271737
681,61+24=85,1466,0.08271737
682,49+37=86,1466,0.08271737
683,25+48=73,1466,0.08271737
684,24+15=39,1466,0.08271737
685,14+53=67,1466,0.08271737
686,59+27=86,1465,0.08266095
687,17+52=69,1465,0.08266095
688,65+17=82,1465,0.08266095
689,68+27=95,1464,0.08260453
690,19+54=73,1464,0.08260453
691,34+52=86,1463,0.08254810
692,63+12=75,1463,0.08254810
693,14+72=86,1463,0.08254810
694,23+48=71,1463,0.08254810
695,58+34=92,1463,0.08254810
696,90-14=76,1463,0.08254810
697,45+26=71,1463,0.08254810
698,90-54=36,1463,0.08254810
699,75+21=96,1462,0.08249168
700,29+35=64,1462,0.08249168
701,59+24=83,1462,0.08249168
702,45+31=76,1462,0.08249168
703,64+27=91,1462,0.08249168
704,12+63=75,1461,0.08243525
705,23+64=87,1461,0.08243525
706,21+58=79,1461,0.08243525
707,13+54=67,1460,0.08237883
708,58+36=94,1460,0.08237883
709,28+45=73,1460,0.08237883
710,64+19=83,1459,0.08232241
711,14+69=83,1459,0.08232241
712,31+48=79,1459,0.08232241
713,57+32=89,1459,0.08232241
714,57+26=83,1459,0.08232241
715,46+25=71,1459,0.08232241
716,90-56=34,1459,0.08232241
717,63+15=78,1459,0.08232241
718,45+36=81,1458,0.08226598
719,23+61=84,1458,0.08226598
720,54+37=91,1458,0.08226598
721,138/2=69,1457,0.08220956
722,648/9=72,1456,0.08215313
723,68+25=93,1456,0.08215313
724,21+63=84,1456,0.08215313
725,65+28=93,1456,0.08215313
726,35+47=82,1455,0.08209671
727,27+54=81,1455,0.08209671
728,15+64=79,1454,0.08204029
729,97-83=14,1454,0.08204029
730,24+61=85,1454,0.08204029
731,65+32=97,1453,0.08198386
732,32+49=81,1453,0.08198386
733,35+46=81,1452,0.08192744
734,62+35=97,1451,0.08187102
735,17+45=62,1451,0.08187102
736,56+38=94,1450,0.08181459
737,39+47=86,1449,0.08175817
738,25+46=71,1449,0.08175817
739,46+52=98,1449,0.08175817
740,186/2=93,1449,0.08175817
741,90-58=32,1449,0.08175817
742,49+36=85,1449,0.08175817
743,13+65=78,1449,0.08175817
744,42+56=98,1448,0.08170174
745,42+39=81,1448,0.08170174
746,14+65=79,1448,0.08170174
747,134/2=67,1447,0.08164532
748,74+21=95,1447,0.08164532
749,51+47=98,1447,0.08164532
750,32+65=97,1447,0.08164532
751,63+19=82,1447,0.08164532
752,146/2=73,1447,0.08164532
753,97-82=15,1447,0.08164532
754,56+41=97,1446,0.08158890
755,15+67=82,1445,0.08153247
756,90-16=74,1445,0.08153247
757,97-15=82,1445,0.08153247
758,174/6=29,1444,0.08147605
759,156/4=39,1444,0.08147605
760,73+21=94,1444,0.08147605
761,67+24=91,1443,0.08141962
762,46+35=81,1443,0.08141962
763,8*64=512,1442,0.08136320
764,258/6=43,1442,0.08136320
765,57+41=98,1442,0.08136320
766,69+13=82,1441,0.08130678
767,31+45=76,1441,0.08130678
768,34+57=91,1441,0.08130678
769,57+34=91,1441,0.08130678
770,152/4=38,1441,0.08130678
771,36+45=81,1441,0.08130678
772,37+52=89,1440,0.08125035
773,29+54=83,1440,0.08125035
774,156/2=78,1440,0.08125035
775,71+23=94,1440,0.08125035
776,41+35=76,1439,0.08119393
777,13+62=75,1439,0.08119393
778,67+31=98,1439,0.08119393
779,378/9=42,1439,0.08119393
780,61+37=98,1438,0.08113750
781,34+58=92,1438,0.08113750
782,52+41=93,1437,0.08108108
783,25+64=89,1437,0.08108108
784,26+45=71,1436,0.08102466
785,39+46=85,1436,0.08102466
786,21+64=85,1436,0.08102466
787,97-84=13,1436,0.08102466
788,62-44=18,1436,0.08102466
789,67+28=95,1436,0.08102466
790,90-74=16,1436,0.08102466
791,38+56=94,1433,0.08085539
792,64+31=95,1432,0.08079896
793,19+64=83,1432,0.08079896
794,51+46=97,1432,0.08079896
795,15+69=84,1432,0.08079896
796,47+35=82,1431,0.08074254
797,37+54=91,1431,0.08074254
798,8*52=416,1431,0.08074254
799,63+28=91,1431,0.08074254
800,73+12=85,1430,0.08068611
801,196/7=28,1430,0.08068611
802,41+57=98,1430,0.08068611
803,162/3=54,1430,0.08068611
804,65+19=84,1430,0.08068611
805,35+62=97,1429,0.08062969
806,13+69=82,1429,0.08062969
807,26+57=83,1429,0.08062969
808,27+56=83,1428,0.08057327
809,82+14=96,1428,0.08057327
810,46+51=97,1427,0.08051684
811,24+65=89,1427,0.08051684
812,19+63=82,1427,0.08051684
813,73+16=89,1427,0.08051684
814,416/8=52,1427,0.08051684
815,37+45=82,1426,0.08046042
816,2*16/4=8,1426,0.08046042
817,158/2=79,1426,0.08046042
